"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.","Yes","",0,0,"State Executive"
"Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.","No","",0,0,"State Executive"
"Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ","Yes","",0,0,"State Executive"
"Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ","No","",0,0,"State Executive"
"Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.","Yes","",0,0,"State Executive"
"Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.","No","",0,0,"State Executive"
"Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.","Yes","",0,0,"State Executive"
"Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.","No","",0,0,"State Executive"
"Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","Repealed","",0,0,"State Executive"
"Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269","Maintained","",0,0,"State Executive"
